PC1,PC2,Group,Sample
1.7593318916410778,-1.15959459984593,Normal_B12,P26m
-2.151739464419044,-0.6430266028335375,Normal_B12,P31m
0.27465446833288387,-0.6923591910046945,Low_B12,P33m
-5.170602304015499,-0.15363760318313524,Low_B12,P37m
-8.76833280148591,0.4083727101053213,Normal_B12,P42m
-3.4991551575529583,-0.37451626451330555,Normal_B12,P51m
-5.1221342857413825,0.6626095642764219,Normal_B12,P52m
-9.598717364566546,0.5126110710634171,Normal_B12,P55m
-0.25992507668030906,-1.0664222951162483,Low_B12,P59m
-4.030078286716348,0.1333736764495848,Low_B12,P60m
-4.967780688376034,0.44369341362382186,Low_B12,P64m
9.374967884263365,-3.109270869670649,Low_B12,P66m
13.140215920150611,50.03418913893533,Low_B12,P68m
-0.9255881993060426,-0.7299051676493693,Low_B12,P78m
-6.026401159855104,0.1193224793243408,Low_B12,P81m
-0.5869915329462613,-0.699437295056947,Low_B12,P86m
-7.049199580491489,0.2638725216809344,Normal_B12,P96m
1.6957879944660463,-1.2618738208922722,Low_B12,P99m
-1.230820419570538,0.3656649683830059,Normal_B12,P102m
3.987003646354446,-2.028867984228053,Normal_B12,P105m
4.42769708312246,-2.0455920030811683,Normal_B12,P111m
-10.119255676141746,0.29140294294974467,Normal_B12,P113m
-2.1081044049221256,-0.16602173530076075,Low_B12,P117m
2.5366118042187944,-1.9786596607331866,Low_B12,P123m
19.541494938625622,-5.830478074896897,Low_B12,P127m
-0.7384425644047568,-0.5554137603547189,Normal_B12,P128m
2.5381804013217795,-1.8405409778530668,Low_B12,P131m
-3.7563699578626704,-0.33239097170668364,Low_B12,P140m
3.107401946905803,-1.0153447840458307,Normal_B12,P146m
20.47528451690738,-7.07434243931356,Low_B12,P153m
-1.3506242937285995,-0.6443282441857874,Low_B12,P163m
-6.968394542053943,0.19186528484757984,Normal_B12,P185m
-3.2186106772457097,-0.00851449497392661,Low_B12,P191m
-7.5234029684880985,0.1903296590051453,Normal_B12,P197m
-17.62208198892991,1.8689002242221193,Normal_B12,P204m
-0.45781085866464566,-0.7683965342281381,Low_B12,P207m
0.12778014771618154,-0.9484718847100799,Low_B12,P211m
-5.543236593884879,0.8087029864969789,Normal_B12,P219m
0.3371859628120938,-1.335073925596397,Normal_B12,P226m
-2.6118150073229085,-0.21961763394047132,Normal_B12,P241m
19.498875568713974,-5.662777591579146,Low_B12,P244m
-9.120009657386476,-0.08064090752659649,Normal_B12,P246m
5.560753477485019,-1.4331823102656869,Low_B12,P257m
0.897537846148755,-1.0985882630379906,Normal_B12,P261m
0.3640937021922374,-0.6904849031283601,Normal_B12,P262m
-4.66972668135365,0.5785613788081236,Normal_B12,P266m
14.26965349582369,-4.987332696559278,Low_B12,P73m
17.7754192919639,-5.23780343618938,Low_B12,P118m
-4.379483970781921,-0.5616125611370687,Normal_B12,P87m
-2.115095824270615,-0.43895053183349625,Normal_B12,P98m
