Gene,p_value,effect_size,mean_LB,mean_NB,mean_diff,composite_score
PLCH2,0.00027451078428318386,1.2516152302726593,0.3431287174430867,0.3816040813815894,-0.038475363938502705,4.457553085414247
TNFRSF14-AS1,0.0004155021525085159,1.2177768651057248,0.33763212769466655,0.3847392330317932,-0.04710710533712664,4.117823105830925
TNFRSF14,0.0006868221882035613,1.1973934314161692,0.32277643687037866,0.3687902116210199,-0.04601377475064122,3.7875417618247447
C1orf159,0.00904539678500551,0.8545527619268741,0.7694563419231948,0.7945666269282785,-0.02511028500508372,1.746340415408779
SCNN1D,0.019292379706561613,0.7951011695404012,0.4810375801090932,0.5039395755459368,-0.022901995436843625,1.363291753160215
LOC124903823,0.02563927200880558,0.6165125814575468,0.8386962067075526,0.8189876941969672,0.019708512510585474,0.9809296594556666
UBE2J2,0.033717668936863225,0.6536447918814307,0.8546122284549629,0.8615577698342302,-0.006945541379267284,0.9622582496436108
SLC35E2B,0.03151710207456157,0.6346968578866722,0.876385406049984,0.8888653950637504,-0.012479989013766346,0.9529679585702526
TMEM52,0.03851496043112118,0.6597523410184063,0.5411105850435527,0.5570119338674586,-0.015901348823905925,0.933134276715011
LOC100129534,0.04679161534600049,0.606926953712033,0.6989269461956762,0.7114833776878796,-0.012556431492203424,0.8071108609490616
GABRD,0.08585487995041037,0.664212940387103,0.5032009189927089,0.5332466093136683,-0.030045690320959384,0.708207093928469
TNFRSF18,0.0720454304673439,0.5672662175332732,0.3366702950922052,0.35807603979707336,-0.021405744704868168,0.6480412730405252
LOC100996583,0.14784658271436188,0.7278199434657536,0.4104118504610798,0.4410665719636161,-0.030654721502536286,0.6042278991720157
TAS1R3,0.08585487995041037,0.5247984984431395,0.6696397718082284,0.6601081588681502,0.009531612940078205,0.5595585344420319
SSU72,0.10751135969600566,0.5448765636288129,0.7993493373901025,0.8073990884331209,-0.008049751043018416,0.5277378228634757
MIR6808,0.14041971470550127,0.521876469775549,0.7388534936681025,0.7702810668667381,-0.03142757319863565,0.444937220373531
CPTP,0.1332831707493199,0.49414193847056725,0.7987030633744776,0.7899376745156652,0.008765388858812395,0.4324852218549516
MIR429,0.1555699325877425,0.5231861258802478,0.3547187693064611,0.3760075612483018,-0.02128879194184069,0.42277328137961717
PLEKHN1,0.10751135969600566,0.4212083621234572,0.6572616586334166,0.6437476811322691,0.013513977501147467,0.4079595248481876
MORN1,0.1332831707493199,0.45192086330610454,0.5601642209058142,0.5740548588189183,-0.013890637913104076,0.3955322946940345
MRPL20,0.14784658271436188,0.46959024531353444,0.6974024251581981,0.7045787299140673,-0.007176304755869278,0.3898485194653357
RN7SL657P,0.14784658271436188,0.46959024531353444,0.6974024251581981,0.7045787299140673,-0.007176304755869278,0.3898485194653357
LINC01342,0.1555699325877425,0.39138334735575,0.40911725878771643,0.4203660346787171,-0.01124877589100065,0.3162668386141466
SAMD11,0.1805773768084653,0.4053828873964062,0.3860706960893827,0.4006928543679127,-0.014622158278529973,0.3013359614928574
PEX10,0.25029679750351186,0.4501245359128678,0.566820498085914,0.5751604739099199,-0.008339975824005919,0.2707700320206303
MIR200B,0.285304715907688,0.48585580675205453,0.3659761773573916,0.3871110061239957,-0.021134828766604108,0.2646413092934467
MIR200A,0.285304715907688,0.48585580675205453,0.3659761773573916,0.3871110061239957,-0.021134828766604108,0.2646413092934467
ATAD3A,0.20845355458876536,0.37785372509914117,0.8299570678858453,0.8338411333803354,-0.003884065494490052,0.25731487071093423
ANKRD65-AS1,0.22869435423745565,0.3901011746398891,0.7821536213828604,0.751824187899581,0.030329433483279322,0.2499552041232344
PRXL2B,0.25029679750351186,0.4085740928945707,0.3624320478880868,0.38121285251867115,-0.018780804630584347,0.24577558295395358
GNB1,0.1805773768084653,0.3254533363159192,0.839708740530322,0.8463766218180806,-0.006667881287758637,0.2419213959663686
CDK11A,0.23932370336933684,0.38814408315455906,0.8875397072231831,0.8912197203352503,-0.0036800131120672264,0.24104302035048705
MRPL20-DT,0.25029679750351186,0.3957902101532061,0.6863284846179619,0.6929717706792597,-0.006643286061297826,0.23808550595735695
LOC284600,0.22869435423745565,0.3557719625987878,0.5482610288245133,0.5619052242302233,-0.013644195405709936,0.22795894837997918
KLHL17,0.189543984158981,0.3127402159262022,0.8789548338006765,0.8721756995972962,0.006779134203380277,0.2258891288861264
PRKCZ-DT,0.21840551261012597,0.32596278175594734,0.590065168417886,0.57771206078225,0.012353107635636018,0.21537547623180753
LOC105378589,0.2732851201810752,0.38096241688007865,0.4212653514117209,0.43963124164827905,-0.018365890236558158,0.21462813558822785
SKI,0.23932370336933684,0.34200449194684845,0.7108138677769799,0.7030030026612438,0.007810865115736032,0.21238967509772763
MIR6726,0.2732851201810752,0.32430976159662217,0.8362418428250449,0.8311626105487548,0.0050792322762900355,0.18271093525337598
ISG15,0.42488347368209856,0.4557581403553333,0.36005609635255953,0.34144979041349033,0.0186063059390692,0.16941904682268724
PERM1,0.379331935127312,0.36995116990604054,0.46281229419375053,0.4766239015289934,-0.013811607335242893,0.1557422630136776
MMEL1-AS1,0.33691523838231996,0.3078510324029312,0.2835647780473842,0.2663105153181193,0.017254262729264946,0.1454532543582491
FAAP20,0.3507022236669548,0.31666975629156885,0.7386226345830528,0.7324930935624088,0.006129541020644003,0.14410420806201646
MIB2,0.33691523838231996,0.30291908927415373,0.7751983041718751,0.7865937742574751,-0.011395470085600046,0.14312301309580772
LINC02593,0.40935585574217404,0.2871699676593483,0.6134228484569189,0.631320753255023,-0.01789790479810416,0.11139294117162622
LOC100288175,0.39417090995164517,0.2629020439362815,0.5248526633408723,0.5346310438533975,-0.00977838051252522,0.10629535293032012
TNFRSF4,0.31040225614615824,0.19941335554479075,0.8940436785639403,0.8918621407959113,0.002181537768028985,0.10131696666393906
CALML6,0.29767675447218034,0.18822327735395475,0.7215944720028242,0.7262906964677086,-0.00469622446488438,0.0990534554801965
MXRA8,0.507505297961912,0.2500231314021125,0.4778329987818328,0.4590645288292345,0.018768469952598288,0.07364666847432304
FNDC10,0.5608516966002302,0.22933308855042386,0.23287268637472866,0.23836286407249913,-0.005490177697770465,0.05759745512981376
ATAD3B,0.4569506196695641,0.16802178706705378,0.7950946976335151,0.797220108976992,-0.0021254113434768795,0.057149372972775475
VWA1,0.6359445511344555,0.26982978142926,0.8297991511874176,0.820705279855896,0.009093871331521619,0.05304334063188561
LINC01786,0.5249869101903615,0.18300577913948168,0.5821370496055553,0.5907666567057895,-0.008629607100234193,0.05121444635731603
NADK,0.5978625674290079,0.20613597756348587,0.7296492386374679,0.7231922874341778,0.00645695120329004,0.046050496449271276
TMEM88B,0.44074988359834266,0.12241936769571045,0.2609842645557738,0.2651045355324423,-0.004120270976668505,0.04355776511700864
CCNL2,0.5427717015170068,0.16110195419796716,0.8016975022102935,0.7982841122373283,0.003413389972965142,0.042753688197883145
SLC35E2A,0.6359445511344555,0.2048008542997528,0.8594213944974255,0.862317563044255,-0.002896168546829503,0.04025990540696097
SDF4,0.6359445511344555,0.18432490962108575,0.7615704708321995,0.7642721612427343,-0.002701690410534807,0.036234728858259936
PUSL1,0.5608516966002302,0.1405944839913435,0.5670120822899924,0.5715798000287985,-0.004567717738806043,0.035310580493971025
TMEM240,0.6948910198677665,0.2108418762294414,0.6746246294505358,0.6671239982050071,0.007500631245528688,0.03333057970834803
MMEL1,0.7149798814655983,0.22060188971686986,0.3369459074629757,0.3437457632931256,-0.006799855830149915,0.03214305829975885
NOC2L,0.4569506196695641,0.07336395939746458,0.8723989231894395,0.8714777865367449,0.0009211366526945541,0.02495333701391977
CDK11B,0.6948910198677665,0.13855942103001767,0.2807254705592963,0.27276127881244183,0.007964191746854477,0.02190393061176277
TTLL10,0.8392322130718609,0.22841439091706342,0.40020253603140993,0.4074314603551799,-0.007228924323769981,0.017386413371801076
PRKCZ,0.7971974192691748,0.1729884775106632,0.7437117677859716,0.7412465286138771,0.0024652391720945133,0.017027967833665072
LOC124903824,0.8392322130718609,0.20427815094502202,0.5400385196271417,0.5310266656350622,0.009011853992079488,0.01554921456961496
LINC01770,0.7352681529274933,0.1129845745130814,0.7372719902742156,0.7333638938083105,0.003908096465905175,0.015089569477583322
MIR6727,0.7763905055505131,0.09015055779321961,0.8501181621972098,0.851338639675372,-0.0012204774781622296,0.00990932985504802
INTS11,0.8604309737352772,0.1010787187159097,0.8503537636643911,0.8493459066917026,0.001007856972688459,0.0065988194590530245
LOC105378586,0.9245727283322236,0.15468292101603787,0.2790767577111523,0.2835767425296646,-0.00449998481851227,0.005268333361121382
AURKAIP1,0.8817307917391243,0.09361635442010485,0.8196149873688936,0.8181302024876063,0.0014847848812873377,0.005117443695248782
ANKRD65,0.8181494613881999,0.0537211837856037,0.5736974113033637,0.5712077012812875,0.002489710022076208,0.004682733290308749
CFAP74,0.8817307917391243,0.0717860027543457,0.5742770596732868,0.5762026175551646,-0.0019255578818777597,0.003924109515670742
RER1,0.9031164959895642,0.07493626053041798,0.8770643895932662,0.8787901462531365,-0.0017257566598702923,0.0033163960022368666
HES5,0.8392322130718609,0.040790732545266585,0.64027905580674,0.6431327714176565,-0.0028537156109164075,0.003104903044520055
PANK4,0.9245727283322236,0.07195526549963845,0.7655951059157632,0.764762325228608,0.000832780687155199,0.0024507186911785
MMP23B,0.7557428276359095,0.01687823127478485,0.6185635063439785,0.6193067441454077,-0.000743237801429153,0.0020528311787333343
TTLL10-AS1,0.7352681529274933,0.01293886633493046,0.5144683801453638,0.5140603206607404,0.0004080594846234131,0.0017280405167122337
AGRN,0.8181494613881999,0.014926812988788812,0.55805238588381,0.5573728987795307,0.0006794871042793416,0.0013011307490872137
NDUFB4P8,0.8392322130718609,0.01397200874436873,0.546763183443334,0.5472916780538063,-0.0005284946104723298,0.0010635193285707585
C1QTNF12,0.8817307917391243,0.017275727858204488,0.4872820979817335,0.4867183750402043,0.0005637229415291767,0.0009443602579531348
ACAP3,0.9676346083712113,0.037024050940567176,0.7858725791710705,0.7853458462654991,0.0005267329055713699,0.0005290221146478191
PRKCZ-AS1,0.9676346083712113,0.035383021047761004,0.8214909021950595,0.8208673212210547,0.0006235809740048337,0.0005055740833806251
DVL1,0.9676346083712113,0.030051753377566635,0.4889137679278587,0.4873404050643451,0.001573362863513561,0.0004293976946551678
B3GALT6,0.7763905055505131,0.003806504211952728,0.7819579414176954,0.7818634606525026,9.44807651928059e-05,0.00041841012140366574
ATAD3C,0.9245727283322236,0.0036310839923812104,0.7290614189998367,0.7289864020606984,7.501693913825047e-05,0.00012367080223493022
