Triplet_ID,Gene_Ensembl_ID,Gene_Symbol,miRNA_Name,DMR_Index,Target_log2FC,Target_Direction,Target_padj,miRNA_log2FC,miRNA_Direction,miRNA_padj,Methylation_Direction,Methylation_Value,DMR_pvalue,DMR_qvalue
LHX8_hsa-miR-1299_18963,ENSG00000162624,LHX8,hsa-miR-1299,18963,29.91083438,Up-regulated,2.79e-10,-1.857076456,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-1299_18964,ENSG00000162624,LHX8,hsa-miR-1299,18964,29.91083438,Up-regulated,2.79e-10,-1.857076456,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-4784_18962,ENSG00000162624,LHX8,hsa-miR-4784,18962,29.91083438,Up-regulated,2.79e-10,10.3587968,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-4784_18963,ENSG00000162624,LHX8,hsa-miR-4784,18963,29.91083438,Up-regulated,2.79e-10,10.3587968,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-4784_18964,ENSG00000162624,LHX8,hsa-miR-4784,18964,29.91083438,Up-regulated,2.79e-10,10.3587968,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-6859-5p_18962,ENSG00000162624,LHX8,hsa-miR-6859-5p,18962,29.91083438,Up-regulated,2.79e-10,1.477324365,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-6859-5p_18963,ENSG00000162624,LHX8,hsa-miR-6859-5p,18963,29.91083438,Up-regulated,2.79e-10,1.477324365,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-6859-5p_18964,ENSG00000162624,LHX8,hsa-miR-6859-5p,18964,29.91083438,Up-regulated,2.79e-10,1.477324365,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-548x-3p_18962,ENSG00000162624,LHX8,hsa-miR-548x-3p,18962,29.91083438,Up-regulated,2.79e-10,4.15088442,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-548x-3p_18963,ENSG00000162624,LHX8,hsa-miR-548x-3p,18963,29.91083438,Up-regulated,2.79e-10,4.15088442,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-548x-3p_18964,ENSG00000162624,LHX8,hsa-miR-548x-3p,18964,29.91083438,Up-regulated,2.79e-10,4.15088442,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-1-3p_18962,ENSG00000162624,LHX8,hsa-miR-1-3p,18962,29.91083438,Up-regulated,2.79e-10,0.58894478,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-1-3p_18963,ENSG00000162624,LHX8,hsa-miR-1-3p,18963,29.91083438,Up-regulated,2.79e-10,0.58894478,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-1-3p_18964,ENSG00000162624,LHX8,hsa-miR-1-3p,18964,29.91083438,Up-regulated,2.79e-10,0.58894478,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-3940-5p_18962,ENSG00000162624,LHX8,hsa-miR-3940-5p,18962,29.91083438,Up-regulated,2.79e-10,-1.494997115,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-3940-5p_18963,ENSG00000162624,LHX8,hsa-miR-3940-5p,18963,29.91083438,Up-regulated,2.79e-10,-1.494997115,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-3940-5p_18964,ENSG00000162624,LHX8,hsa-miR-3940-5p,18964,29.91083438,Up-regulated,2.79e-10,-1.494997115,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-301b-3p_18962,ENSG00000162624,LHX8,hsa-miR-301b-3p,18962,29.91083438,Up-regulated,2.79e-10,-0.736874531,Down-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-301b-3p_18963,ENSG00000162624,LHX8,hsa-miR-301b-3p,18963,29.91083438,Up-regulated,2.79e-10,-0.736874531,Down-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-301b-3p_18964,ENSG00000162624,LHX8,hsa-miR-301b-3p,18964,29.91083438,Up-regulated,2.79e-10,-0.736874531,Down-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-450a-1-3p_18962,ENSG00000162624,LHX8,hsa-miR-450a-1-3p,18962,29.91083438,Up-regulated,2.79e-10,0.839209771,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-450a-1-3p_18963,ENSG00000162624,LHX8,hsa-miR-450a-1-3p,18963,29.91083438,Up-regulated,2.79e-10,0.839209771,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-450a-1-3p_18964,ENSG00000162624,LHX8,hsa-miR-450a-1-3p,18964,29.91083438,Up-regulated,2.79e-10,0.839209771,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-320c_18962,ENSG00000162624,LHX8,hsa-miR-320c,18962,29.91083438,Up-regulated,2.79e-10,0.798268304,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-320c_18963,ENSG00000162624,LHX8,hsa-miR-320c,18963,29.91083438,Up-regulated,2.79e-10,0.798268304,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-320c_18964,ENSG00000162624,LHX8,hsa-miR-320c,18964,29.91083438,Up-regulated,2.79e-10,0.798268304,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
LHX8_hsa-miR-497-5p_18962,ENSG00000162624,LHX8,hsa-miR-497-5p,18962,29.91083438,Up-regulated,2.79e-10,0.473419716,Up-regulated,0.99990023,Hypomethylated,-0.438134154,3.90772772592636e-12,5.1172049544339795e-11
LHX8_hsa-miR-497-5p_18963,ENSG00000162624,LHX8,hsa-miR-497-5p,18963,29.91083438,Up-regulated,2.79e-10,0.473419716,Up-regulated,0.99990023,Hypomethylated,-0.515227874,1.62174962386477e-06,8.86176869847841e-06
LHX8_hsa-miR-497-5p_18964,ENSG00000162624,LHX8,hsa-miR-497-5p,18964,29.91083438,Up-regulated,2.79e-10,0.473419716,Up-regulated,0.99990023,Hypomethylated,-1.404394964,3.68489466116448e-07,2.2622902579969e-06
