PC1,PC2,Group,Sample
-3.6715301519048107,-0.38418991031452826,Normal_B12,P102s
-1.1030380580646768,-0.35915228170623914,Normal_B12,P105s
1.0576582410257287,-0.07241053884487596,Normal_B12,P111s
-3.776651167655073,-0.21673270710328502,Normal_B12,P113s
1.6256825695741566,-1.250968984586719,Low_B12,P117s
-1.807197356579548,-0.4974020593092112,Low_B12,P118s
-1.8567732629437315,-1.6155394357944541,Low_B12,P123s
9.229890091361604,-7.073734042317808,Low_B12,P127s
-1.0088812453749951,-1.309750224832263,Normal_B12,P128s
1.8192268309280306,1.3370365517100418,Low_B12,P131s
-1.2318064517526606,-2.438652490049726,Low_B12,P140s
-0.07888529902820539,0.3356338407043805,Normal_B12,P146s
4.7998486432629175,-4.939544404767919,Low_B12,P153s
-0.6708530442417286,-1.273445788376824,Low_B12,P163s
-2.324592663446479,-1.613174343747238,Normal_B12,P185s
0.8972865541440814,1.0776704090682547,Low_B12,P191s
-2.5045758152880757,-2.105907528793896,Normal_B12,P197s
-7.026085631471503,-1.3386410481563333,Normal_B12,P204s
2.7709882201519522,1.4023495895646758,Low_B12,P207s
0.39288083957175,-0.6346561463504338,Low_B12,P211s
-1.7154823764231122,0.8142074818243549,Normal_B12,P219s
2.01411681123118,1.075916655204032,Normal_B12,P226s
-1.755610775748584,3.0084684174648153,Normal_B12,P241s
8.296189442202598,1.6900484043170094,Low_B12,P244s
-3.8243660871102803,0.3426696375146405,Normal_B12,P246s
3.7173265787223784,2.035983503297433,Low_B12,P257s
1.4819975605419378,7.574925534792004,Normal_B12,P261s
-0.23131051687393725,0.7219972564737821,Normal_B12,P262s
2.6867026839665495,4.5901944477389796,Normal_B12,P266s
1.2399693284226097,1.1237365914225363,Normal_B12,P26s
1.2603710064510367,1.5615917369332495,Normal_B12,P31s
1.2538356936554291,0.4150542286298343,Low_B12,P33s
-2.0017173822098573,-0.8520745141519285,Low_B12,P37s
-0.872489709137085,3.1262620666031844,Normal_B12,P42s
-2.5798873017756274,-1.1939276363122953,Normal_B12,P51s
-2.7446165742915243,-1.4710532040964963,Normal_B12,P52s
-3.7071069384717363,1.2742294626500328,Normal_B12,P55s
0.8491868420715304,0.6865249662308838,Low_B12,P59s
-0.4954743471835109,2.7821191874015683,Low_B12,P60s
-3.3809768626179,-1.3708713851022505,Low_B12,P64s
4.802789759155852,1.7729316749358452,Low_B12,P66s
-0.7697151940460014,0.44646665384145423,Low_B12,P68s
0.7927008067096064,-0.5551896677362165,Low_B12,P73s
0.5732624718611141,0.2704151641906597,Low_B12,P78s
-1.5786771460071936,-1.8716099083100688,Low_B12,P81s
-0.32157660311063985,-1.2072912833176668,Low_B12,P86s
2.4281516612351135,-2.8331966508022894,Normal_B12,P87s
-3.768185783531964,-0.6860556813988731,Normal_B12,P96s
2.432388724884395,-0.5396939395696918,Normal_B12,P98s
0.3856123851588959,0.2384323433358849,Low_B12,P99s
