Gene_Symbol,Is_DEG,Expression_Direction,Is_DMR,Methylation_Direction,Predicted_Regulatory_Relationship
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypomethylated,Inconsistent pattern ↓↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypermethylated,Methylation inhibits expression ↑↓
FAM167A,Yes,Down-regulated,Yes,Hypomethylated,Inconsistent pattern ↓↓
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
COPZ2,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
SMOX,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
SMOX,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
SMOX,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
SMOX,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
SMOX,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
SMOX,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
SMOX,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
C4B,Yes,Up-regulated,Yes,Hypermethylated,Inconsistent pattern ↑↑
